Suburb,Rooms,Type,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,zipcode,airbnb_record_count,airbnb_price_mean,airbnb_price_median
Abbotsford,4,h,1330000.0,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,3,t,900000.0,2.5,3067.0,3.0,2.0,2.0,0.0,,2010.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,3,u,1090000.0,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,,3067.0,258.0,130.62403100775194,100.0
Abbotsford,2,u,500000.0,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,2,h,1100000.0,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,2,h,1315000.0,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,1,u,426000.0,2.5,3067.0,1.0,1.0,1.0,0.0,,,3067.0,258.0,130.62403100775194,100.0
Abbotsford,3,h,1447500.0,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,1,u,457000.0,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,,3067.0,258.0,130.62403100775194,100.0
Abbotsford,2,h,1135000.0,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,4,h,1542000.0,2.5,3067.0,4.0,3.0,1.0,0.0,,,3067.0,258.0,130.62403100775194,100.0
Abbotsford,3,h,1290000.0,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,,3067.0,258.0,130.62403100775194,100.0
Abbotsford,3,h,1290000.0,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,1,u,470000.0,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,2,h,1180000.0,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,3,h,1195000.0,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,2,h,1012500.0,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,3067.0,258.0,130.62403100775194,100.0
Abbotsford,2,h,1030000.0,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,3067.0,258.0,130.62403100775194,100.0
Airport West,3,t,840000.0,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,730000.0,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,770000.0,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,3042.0,35.0,81.57142857142857,65.0
Airport West,2,h,603000.0,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,t,700000.0,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,3042.0,35.0,81.57142857142857,65.0
Airport West,2,u,500000.0,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,3042.0,35.0,81.57142857142857,65.0
Airport West,6,h,725000.0,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,3042.0,35.0,81.57142857142857,65.0
Airport West,2,t,450000.0,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,3042.0,35.0,81.57142857142857,65.0
Airport West,2,u,515000.0,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,3042.0,35.0,81.57142857142857,65.0
Airport West,2,u,530000.0,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,895000.0,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,805000.0,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,u,752000.0,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,3042.0,35.0,81.57142857142857,65.0
Airport West,2,u,440000.0,13.5,3042.0,2.0,1.0,1.0,192.0,,,3042.0,35.0,81.57142857142857,65.0
Airport West,3,t,700000.0,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,830000.0,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,3042.0,35.0,81.57142857142857,65.0
Airport West,2,u,462500.0,13.5,3042.0,2.0,1.0,1.0,164.0,,2003.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,670000.0,13.5,3042.0,3.0,2.0,2.0,657.0,,,3042.0,35.0,81.57142857142857,65.0
Airport West,2,h,675000.0,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,1042000.0,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,910000.0,13.5,3042.0,3.0,1.0,1.0,775.0,,,3042.0,35.0,81.57142857142857,65.0
Airport West,4,h,773000.0,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,810000.0,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,715000.0,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,790000.0,13.5,3042.0,3.0,1.0,3.0,614.0,,,3042.0,35.0,81.57142857142857,65.0
Airport West,3,t,540000.0,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,t,825000.0,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,685000.0,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,805000.0,13.5,3042.0,3.0,1.0,1.0,623.0,,,3042.0,35.0,81.57142857142857,65.0
Airport West,2,u,510000.0,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,612000.0,13.5,3042.0,3.0,2.0,1.0,212.0,,,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,662000.0,13.5,3042.0,3.0,1.0,2.0,612.0,,,3042.0,35.0,81.57142857142857,65.0
Airport West,4,h,978000.0,13.5,3042.0,4.0,3.0,2.0,532.0,,,3042.0,35.0,81.57142857142857,65.0
Airport West,3,h,720000.0,13.5,3042.0,3.0,1.0,1.0,585.0,,,3042.0,35.0,81.57142857142857,65.0
Airport West,4,h,765000.0,13.5,3042.0,4.0,1.0,2.0,509.0,,,3042.0,35.0,81.57142857142857,65.0
Airport West,4,h,900000.0,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,3042.0,35.0,81.57142857142857,65.0
Albert Park,2,h,1275000.0,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,1455000.0,3.3,3206.0,2.0,1.0,0.0,159.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,1850000.0,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,1436000.0,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,1550000.0,3.3,3206.0,2.0,1.0,1.0,167.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,t,1550000.0,3.3,3206.0,3.0,2.0,2.0,718.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,1800000.0,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,2120000.0,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,1800000.0,3.3,3206.0,3.0,1.0,1.0,253.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,1800000.0,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,1810000.0,3.3,3206.0,2.0,1.0,0.0,240.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,5,h,2100000.0,3.3,3206.0,5.0,2.0,1.0,237.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,1300000.0,3.3,3206.0,3.0,1.0,0.0,129.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,1370000.0,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,1000000.0,3.3,3206.0,2.0,1.0,0.0,288.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,1322500.0,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,1562500.0,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,2000000.0,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,1900000.0,3.3,3206.0,3.0,1.0,0.0,209.0,,1900.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,u,647000.0,3.3,3206.0,2.0,1.0,1.0,0.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,2000000.0,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,1,u,442500.0,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,1340000.0,3.3,3206.0,2.0,1.0,0.0,136.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,1801000.0,3.3,3206.0,3.0,1.0,1.0,202.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,1532000.0,3.3,3206.0,3.0,3.0,1.0,0.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,4,h,2140000.0,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,1750000.0,3.3,3206.0,2.0,1.0,1.0,162.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,2,h,980000.0,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,2030000.0,3.3,3206.0,3.0,2.0,0.0,152.0,,,3206.0,122.0,229.41803278688525,165.0
Albert Park,3,h,1740000.0,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,3206.0,122.0,229.41803278688525,165.0
Albert Park,1,h,985000.0,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,3206.0,122.0,229.41803278688525,165.0
Alphington,4,h,2000000.0,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,3078.0,74.0,111.20270270270271,79.0
Alphington,3,h,1110000.0,6.4,3078.0,3.0,2.0,2.0,208.0,,2013.0,3078.0,74.0,111.20270270270271,79.0
Alphington,3,h,1492000.0,6.4,3078.0,3.0,2.0,2.0,411.0,,,3078.0,74.0,111.20270270270271,79.0
Alphington,4,h,1717500.0,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,3078.0,74.0,111.20270270270271,79.0
Alphington,2,u,525500.0,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,3078.0,74.0,111.20270270270271,79.0
Alphington,2,t,805000.0,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,3078.0,74.0,111.20270270270271,79.0
Alphington,2,u,465000.0,6.4,3078.0,2.0,1.0,1.0,0.0,,,3078.0,74.0,111.20270270270271,79.0
Alphington,3,h,2000000.0,6.4,3078.0,3.0,3.0,2.0,686.0,,,3078.0,74.0,111.20270270270271,79.0
Alphington,3,h,1540000.0,6.4,3078.0,3.0,1.0,2.0,592.0,,,3078.0,74.0,111.20270270270271,79.0
Alphington,2,u,820000.0,6.4,3078.0,2.0,1.0,1.0,183.0,,,3078.0,74.0,111.20270270270271,79.0
Alphington,4,h,1830000.0,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,3078.0,74.0,111.20270270270271,79.0
Alphington,4,h,2100000.0,6.4,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,3078.0,74.0,111.20270270270271,79.0
Alphington,3,h,865000.0,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,3078.0,74.0,111.20270270270271,79.0
Alphington,2,u,512000.0,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,3078.0,74.0,111.20270270270271,79.0
Alphington,3,h,1165000.0,6.4,3078.0,3.0,1.0,2.0,979.0,,,3078.0,74.0,111.20270270270271,79.0
Alphington,4,h,1900000.0,6.4,3078.0,4.0,2.0,2.0,556.0,272.0,1930.0,3078.0,74.0,111.20270270270271,79.0
Alphington,4,h,1950000.0,6.4,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,3078.0,74.0,111.20270270270271,79.0
Altona,3,h,520000.0,13.8,3018.0,3.0,2.0,1.0,352.0,242.0,2015.0,3018.0,37.0,85.62162162162163,80.0
Altona,5,h,1525000.0,13.8,3018.0,5.0,3.0,3.0,729.0,268.0,2005.0,3018.0,37.0,85.62162162162163,80.0
Altona,2,t,720000.0,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,1120000.0,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,3018.0,37.0,85.62162162162163,80.0
Altona,4,h,780000.0,13.8,3018.0,4.0,1.0,4.0,655.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,4,h,1780000.0,13.8,3018.0,4.0,3.0,6.0,1057.0,220.0,1962.0,3018.0,37.0,85.62162162162163,80.0
Altona,2,u,406000.0,13.8,3018.0,2.0,1.0,1.0,65.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,660000.0,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,683500.0,13.8,3018.0,3.0,1.0,1.0,530.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,2,u,580000.0,13.8,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,1335000.0,13.8,3018.0,3.0,1.0,4.0,777.0,22.0,1953.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,t,800000.0,13.8,3018.0,3.0,2.0,2.0,280.0,,1997.0,3018.0,37.0,85.62162162162163,80.0
Altona,2,u,510000.0,13.8,3018.0,2.0,1.0,1.0,127.0,76.0,1990.0,3018.0,37.0,85.62162162162163,80.0
Altona,4,h,1070000.0,13.8,3018.0,4.0,2.0,2.0,695.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,2,u,425000.0,13.8,3018.0,2.0,1.0,2.0,115.0,57.0,1980.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,u,605000.0,13.8,3018.0,3.0,2.0,2.0,230.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,t,705000.0,13.8,3018.0,3.0,2.0,2.0,197.0,152.0,,3018.0,37.0,85.62162162162163,80.0
Altona,2,u,440000.0,13.8,3018.0,2.0,1.0,1.0,0.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,4,h,845000.0,13.8,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,t,743000.0,13.8,3018.0,3.0,2.0,2.0,211.0,176.0,,3018.0,37.0,85.62162162162163,80.0
Altona,3,u,730000.0,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,635000.0,13.8,3018.0,3.0,1.0,4.0,625.0,,1960.0,3018.0,37.0,85.62162162162163,80.0
Altona,2,u,620000.0,13.8,3018.0,2.0,1.0,1.0,168.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,2,u,447000.0,13.8,3018.0,2.0,1.0,1.0,137.0,77.0,1990.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,u,730000.0,13.8,3018.0,3.0,2.0,1.0,70.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,678000.0,13.8,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,3018.0,37.0,85.62162162162163,80.0
Altona,2,u,580000.0,13.8,3018.0,2.0,2.0,1.0,175.0,76.0,2013.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,712000.0,13.8,3018.0,3.0,1.0,2.0,363.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,840000.0,13.8,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,980000.0,13.8,3018.0,3.0,1.0,2.0,724.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,t,605100.0,13.8,3018.0,3.0,2.0,0.0,265.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,880000.0,13.8,3018.0,3.0,3.0,1.0,577.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,u,577000.0,13.8,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,3018.0,37.0,85.62162162162163,80.0
Altona,4,h,1030000.0,13.8,3018.0,4.0,1.0,0.0,797.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,u,605000.0,13.8,3018.0,3.0,1.0,2.0,181.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,753000.0,13.8,3018.0,3.0,2.0,2.0,529.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,2,h,857000.0,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,1500000.0,13.8,3018.0,3.0,1.0,1.0,929.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,u,730000.0,13.8,3018.0,3.0,2.0,1.0,70.0,3.0,2014.0,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,900000.0,13.8,3018.0,3.0,1.0,4.0,697.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,3,h,740000.0,13.8,3018.0,3.0,1.0,2.0,604.0,,,3018.0,37.0,85.62162162162163,80.0
Altona,4,h,931000.0,13.8,3018.0,4.0,2.0,3.0,532.0,,1970.0,3018.0,37.0,85.62162162162163,80.0
Altona,2,h,535600.0,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,3018.0,37.0,85.62162162162163,80.0
Altona North,5,h,1085000.0,11.1,3025.0,5.0,3.0,6.0,592.0,251.0,1965.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,781000.0,11.1,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,750000.0,11.1,3025.0,3.0,1.0,3.0,554.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,2,t,421000.0,11.1,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,1405000.0,11.1,3025.0,3.0,1.0,3.0,655.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,683000.0,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,623000.0,11.1,3025.0,3.0,1.0,3.0,540.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,720000.0,11.1,3025.0,3.0,2.0,1.0,0.0,130.0,2012.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,588000.0,11.1,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,710000.0,11.1,3025.0,3.0,1.0,3.0,540.0,116.0,1960.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,700000.0,11.1,3025.0,3.0,1.0,3.0,554.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,2,t,640000.0,11.1,3025.0,2.0,1.0,1.0,252.0,,1965.0,3025.0,17.0,113.76470588235294,55.0
Altona North,4,h,650000.0,11.1,3025.0,4.0,1.0,4.0,558.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,675000.0,11.1,3025.0,3.0,2.0,2.0,171.0,109.0,2012.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,708000.0,11.1,3025.0,3.0,1.0,2.0,585.0,97.0,1960.0,3025.0,17.0,113.76470588235294,55.0
Altona North,4,h,965000.0,11.1,3025.0,4.0,1.0,4.0,851.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,680000.0,11.1,3025.0,3.0,1.0,3.0,551.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,770000.0,11.1,3025.0,3.0,1.0,3.0,602.0,603.0,,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,923000.0,11.1,3025.0,3.0,1.0,2.0,740.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,4,h,693000.0,11.1,3025.0,4.0,2.0,4.0,315.0,170.0,2008.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,620000.0,11.1,3025.0,5.0,2.0,2.0,276.0,100.0,2010.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,728500.0,11.1,3025.0,3.0,1.0,1.0,531.0,157.0,1960.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,931000.0,11.1,3025.0,3.0,2.0,1.0,590.0,160.0,1950.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,988000.0,11.1,3025.0,3.0,1.0,4.0,715.0,,2008.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,590000.0,11.1,3025.0,3.0,1.0,2.0,561.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,2,h,610000.0,11.1,3025.0,2.0,1.0,2.0,691.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,815000.0,11.1,3025.0,3.0,2.0,3.0,555.0,130.0,1960.0,3025.0,17.0,113.76470588235294,55.0
Altona North,4,h,970000.0,11.1,3025.0,4.0,1.0,2.0,708.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,4,h,760000.0,11.1,3025.0,4.0,1.0,3.0,668.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,4,t,847500.0,11.1,3025.0,4.0,3.0,1.0,252.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,4,h,1200000.0,11.1,3025.0,4.0,1.0,4.0,633.0,158.0,1960.0,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,700000.0,11.1,3025.0,3.0,1.0,1.0,557.0,,,3025.0,17.0,113.76470588235294,55.0
Altona North,3,h,625000.0,11.1,3025.0,3.0,1.0,1.0,536.0,,,3025.0,17.0,113.76470588235294,55.0
Armadale,2,u,599000.0,6.3,3143.0,2.0,1.0,1.0,0.0,76.0,1964.0,3143.0,69.0,192.46376811594203,100.0
Armadale,2,u,550000.0,6.3,3143.0,2.0,1.0,0.0,861.0,,,3143.0,69.0,192.46376811594203,100.0
Armadale,3,u,995000.0,6.3,3143.0,3.0,2.0,2.0,0.0,100.0,1998.0,3143.0,69.0,192.46376811594203,100.0
Armadale,3,t,1205000.0,6.3,3143.0,3.0,2.0,2.0,101.0,105.0,2000.0,3143.0,69.0,192.46376811594203,100.0
Armadale,3,h,1939000.0,6.3,3143.0,3.0,2.0,2.0,296.0,150.0,1889.0,3143.0,69.0,192.46376811594203,100.0
Armadale,1,u,421500.0,6.3,3143.0,1.0,1.0,0.0,0.0,,,3143.0,69.0,192.46376811594203,100.0
Armadale,3,h,1870000.0,6.3,3143.0,3.0,1.0,1.0,217.0,116.0,1888.0,3143.0,69.0,192.46376811594203,100.0
Armadale,2,u,678000.0,6.3,3143.0,2.0,1.0,2.0,0.0,,,3143.0,69.0,192.46376811594203,100.0
Armadale,3,t,1918000.0,6.3,3143.0,3.0,2.0,2.0,0.0,165.0,1995.0,3143.0,69.0,192.46376811594203,100.0
Armadale,2,u,660000.0,6.3,3143.0,2.0,1.0,1.0,0.0,,,3143.0,69.0,192.46376811594203,100.0
Armadale,3,h,2050000.0,6.3,3143.0,3.0,2.0,1.0,205.0,116.0,1910.0,3143.0,69.0,192.46376811594203,100.0
